# gunzip -c exp/mono/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py data/lang 
# Started at Wed Jun 22 13:39:39 BRT 2016
#
analyze_phone_lengths.py: WARNING: optional-silence sil is seen only 54.7231270358% of the time at utterance end.  This may not be optimal.
At utterance begin, sil accounts for 98.7% of phone occurrences, with duration (median, mean, 95-percentile) is (135,132.2,184) frames.
Overall, l_I accounts for 1.9% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.5,14) frames.
Overall, s_I accounts for 1.9% of phone occurrences, with duration (median, mean, 95-percentile) is (14,14.5,21) frames.
Overall, p_B accounts for 1.8% of phone occurrences, with duration (median, mean, 95-percentile) is (5,8.0,28) frames.
Overall, p_I accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.3,14) frames.
Overall, n_I accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (9,8.5,13) frames.
Overall, an_I accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.2,20) frames.
Overall, m_I accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (9,8.8,13) frames.
Overall, b_I accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.4,13) frames.
Overall, b_B accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.4,16) frames.
Overall, d_I accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.6,12) frames.
Overall, i_E accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (11,11.9,24) frames.
Overall, ch_I accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (18,17.7,24) frames.
Overall, v_I accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.4,14) frames.
Overall, l_B accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (11,11.1,18) frames.
Overall, y_I accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (9,10.5,26) frames.
Overall, m_B accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (11,11.0,16) frames.
Overall, g_B accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.8,19) frames.
Overall, un_E accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (14,15.1,28) frames.
Overall, nh_I accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (16,16.7,26) frames.
Overall, s_B accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (20,19.5,25) frames.
Overall, sh_I accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (15,15.1,21) frames.
Overall, a_B accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (14,15.4,27) frames.
Overall, t_B accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.2,8) frames.
Overall, w_I accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (8,9.1,17) frames.
Overall, rr_I accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (8,7.5,11) frames.
Overall, o_E accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (4,5.8,14) frames.
Overall, eh_I accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (17,17.4,25) frames.
Overall, j_B accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (16,16.0,23) frames.
Overall, on_I accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (17,17.8,25) frames.
Overall, oh_I accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (18,18.2,25) frames.
Overall, am_I accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (11,11.6,18) frames.
Overall, z_I accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (14,13.6,17) frames.
The optional-silence phone sil occupies 46.6% of frames overall 
Limiting the stats to the 91.1% of frames not covered by an utterance-[begin/end] phone, optional-silence sil occupies 41.6% of frames.
Assuming 100 frames per second, the alignments represent 1.5 hours of data, or 0.8 hours if sil frames are excluded.
Utterance-internal optional-silences sil comprise 12.5% of utterance-internal phones, with duration (median, mean, 95-percentile) = (49,50.0,82)
# Accounting: time=1 threads=1
# Ended (code 0) at Wed Jun 22 13:39:40 BRT 2016, elapsed time 1 seconds
