# gunzip -c exp/tri3b_ali/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py data/lang 
# Started at Mon Jul  4 16:20:40 BRT 2016
#
At utterance begin, sil accounts for 100.0% of phone occurrences, with duration (median, mean, 95-percentile) is (138,139.3,190) frames.
Overall, ch_I accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (14,12.9,19) frames.
Overall, i_E accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (15,15.2,24) frames.
Overall, b_I accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.1,11) frames.
Overall, s_B accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (17,17.4,23) frames.
Overall, g_I accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.4,12) frames.
Overall, b_B accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.8,16) frames.
Overall, v_I accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.3,11) frames.
Overall, a_B accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (13,13.3,21) frames.
Overall, an_I accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (13,13.0,19) frames.
Overall, m_B accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (13,13.2,20) frames.
Overall, am_I accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (4,4.2,7) frames.
Overall, j_I accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (11,11.1,15) frames.
Overall, o_E accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (9,11.5,26) frames.
Overall, en_I accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (14,13.8,21) frames.
Overall, oh_I accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (15,15.3,21) frames.
Overall, lh_I accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.1,13) frames.
Overall, f_B accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (20,20.2,26) frames.
Overall, nh_I accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (12,11.9,16) frames.
Overall, l_B accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.6,15) frames.
Overall, sh_I accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (16,16.1,20) frames.
Overall, eh_I accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (13,14.6,23) frames.
Overall, z_I accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (11,11.4,15) frames.
The optional-silence phone sil occupies 45.5% of frames overall 
Limiting the stats to the 87.6% of frames not covered by an utterance-[begin/end] phone, optional-silence sil occupies 37.9% of frames.
Assuming 100 frames per second, the alignments represent 0.9 hours of data, or 0.5 hours if sil frames are excluded.
Utterance-internal optional-silences sil comprise 10.4% of utterance-internal phones, with duration (median, mean, 95-percentile) = (51,52.6,81)
# Accounting: time=0 threads=1
# Ended (code 0) at Mon Jul  4 16:20:40 BRT 2016, elapsed time 0 seconds
