baleia avestruz zangao rato periquito gaviao burro <UNK> cao bem-te-vi morcego urso mula tatu sapo
gamba pavao bode porco-do-mato tigre lagarto barata rinoceronte guaxinim urubu anta ponei formiga porco-da-india <UNK>
girafa ra tigre sapo passaro marreco crocodilo pomba elefante cachorro mula bicho-do-mato barata elefante tatu
garca seu sabia mula rinoceronte canario lobo elefante tartaruga besouro lagartixa sabia golfinho zangao pinto
rato jacare vaca leoa crocodilo alfaiate bicho-preguica pomba tubarao tartaruga canario carangueijo morcego carangueijo sabia
cao borboleta baleia cabrito boi leao mosca touro gaviao aguia jumento joao-de-barro <UNK> morcego baleia
formiga egua barata tubarao crocodilo leao paca andorinha zebra tubarao morcego bem-te-vi tatu tamandua frango
crocodilo joao-de-barro veado joao-de-barro guaxinim dinossauro <UNK> veado jacare egua lagarta escaravelho borboleta avestruz urubu
<UNK> cao aguia veado pavao coruja touro pombo tartaruga jegue periquito pernilongo aranha bem-te-vi bufalo
mosca ponei ganso zangao avestruz canario porco-do-mato guaxinim raposa leoa golfinho canguru besouro <UNK> calango
alfaiate galinha anta <UNK> barata arara ema bezerro pinto pernilongo saracura barata aranha canario corsa
alfaiate pulga gaviao lobo besouro canguru <UNK> borboleta barata zebra mosca morcego onca lagartixa alfaiate
carangueijo lagarta piolho hipopotamo besouro dinossauro rato javali alfaiate ganso cachorro lagarta gato galo escorpiao
anta dinossauro lagarto gato canario mosca frango piolho lagarto pato peru hiena gaviao cao <UNK>
boi besouro touro andorinha cabra dinossauro saracura capivara capivara ganso cobra tubarao garca tigre <UNK>
boi hipopotamo bufalo lagarta porco-da-india avestruz pinto jacare gato sapo gamba dinossauro ponei frango <UNK>
hiena bicho-preguica pato lontra ema baleia cabra borboleta porco aguia traca vaca <UNK> formiga passaro-preto
galo peixe besouro tubarao gamba rinoceronte barata urso mico egua lagartixa jegue garrote rinoceronte aranha
alfaiate jumento joao-de-barro gaviao barata zebra mico tubarao borboleta gamba lagarto lagarta tigre calango sapo
garca cobra <UNK> peru peru aguia pombo abelha zebra raposa mula pernilongo raposa zangao cobra
capivara papagaio ganso alfaiate escaravelho <UNK> escaravelho capivara besouro galo seu escaravelho passaro-preto escaravelho saracura
jegue egua paca corsa pernilongo burro bufalo <UNK> rinoceronte morcego marreco baleia frango bicho-do-mato coruja
egua ovelha foca quati baleia crocodilo traca saracura galinha boi ovelha peixe mula mosca pernilongo
besouro formiga leoa lagarta sabia javali galo lagarto cabrito sapo passaro <UNK> girafa peixe mula
<UNK> calango paca carangueijo ganso cobra canario capivara galinha anta paca avestruz porco-do-mato zangao bicho-do-mato
alfaiate vaca borboleta vagalume marreco elefante hipopotamo guaxinim joao-de-barro periquito morcego egua joao-de-barro frango escorpiao
<UNK> garca cavalo cachorro arara cabrito calango peru cobra corsa ponei porco ra pinto passaro-preto
hiena vaca aranha mula cao mosca pernilongo escorpiao porco-da-india lontra traca touro guaxinim ema bicho-preguica
lobo camelo quati canguru rinoceronte seu saracura formiga burro <UNK> arara passaro-preto porco-do-mato barata sabia
pavao girafa quati canario tamandua hiena <UNK> macaco canguru marreco coelho mosca vaca mula lagartixa
pato jumento hipopotamo jumento onca galo barata <UNK> jabuti alfaiate porco anta sapo garrote canguru
garrote garca burro garrote guaxinim jabuti pernilongo cavalo touro golfinho cabra peixe lobo besouro cao
zangao lontra passaro-preto lagarta rato foca traca pato besouro escaravelho <UNK> guaxinim peru coruja bezerro
galo elefante bode burro cao periquito bufalo anta ganso dinossauro tartaruga burro carangueijo veado onca
galinha borboleta pernilongo paca porco-da-india barata jumento pomba camelo baleia marreco lagartixa bufalo vagalume pomba
cavalo ra borboleta mico morcego alfaiate tigre carangueijo tubarao girafa raposa coruja <UNK> pinto tigre
foca porco elefante bufalo porco lobo vagalume alfaiate borboleta corsa escorpiao calango paca peixe boi
formiga tamandua galinha rinoceronte cabrito pomba borboleta girafa borboleta cachorro <UNK> elefante tamandua pavao pomba
pulga escaravelho papagaio lagarto bezerro joao-de-barro carangueijo peru aranha pinto cao <UNK> capivara corsa bode
saracura jumento sabia gaviao passaro-preto <UNK> papagaio bicho-preguica vagalume marreco jabuti pato joao-de-barro tigre lagarta
peixe ra vaca piolho lobo frango papagaio pernilongo gaviao <UNK> galo arara carangueijo porco-da-india garca
andorinha burro passaro baleia peru gato corsa leoa baleia passaro ponei cabra peixe leoa macaco
tigre jumento arara pavao bufalo marreco urubu zebra rinoceronte carangueijo jacare marreco ponei leao escaravelho
touro cao hipopotamo lagarto peru corsa corsa bufalo tigre seu alfaiate peixe cavalo vaca peixe
morcego peixe alfaiate onca <UNK> rinoceronte cobra pernilongo saracura ovelha urubu avestruz lagarto tartaruga alfaiate
pomba baleia <UNK> marreco cavalo bicho-preguica aguia cobra bicho-preguica quati bezerro pavao bem-te-vi pernilongo urso
ponei dinossauro barata golfinho boi andorinha macaco cao ovelha rinoceronte papagaio pomba besouro canario paca
baleia tartaruga cobra vaca vagalume besouro besouro veado saracura javali mula ovelha cachorro formiga mula
andorinha pernilongo corsa tubarao lagarta porco borboleta coruja sapo traca veado bufalo hiena cachorro bode
tatu aranha cachorro porco rato pomba bicho-preguica pomba andorinha hipopotamo formiga cachorro jumento boi <UNK>
porco-da-india cachorro traca ra besouro cabrito periquito <UNK> vagalume carangueijo tigre tatu aranha jabuti leoa
tigre hiena tubarao avestruz mico hipopotamo periquito peru raposa morcego periquito tatu touro formiga tubarao
boi borboleta sapo borboleta burro besouro gamba peru ponei cachorro hipopotamo lagartixa capivara ema jabuti
camelo urso hipopotamo onca pato javali jacare gato pinto mula mula cabrito borboleta <UNK> seu
galinha borboleta pernilongo paca porco-da-india barata jumento pomba camelo baleia marreco lagartixa bufalo vagalume pomba
cavalo ra borboleta mico morcego alfaiate tigre carangueijo tubarao girafa raposa coruja quati pinto tigre
<UNK> porco elefante bufalo porco lobo vagalume alfaiate borboleta corsa escorpiao calango paca peixe boi
formiga tamandua galinha rinoceronte cabrito pomba borboleta girafa borboleta cachorro jabuti elefante tamandua pavao pomba
pulga escaravelho papagaio lagarto bezerro joao-de-barro carangueijo peru aranha pinto cao mico capivara corsa bode
saracura jumento sabia gaviao passaro-preto anta papagaio <UNK> vagalume marreco jabuti pato joao-de-barro tigre lagarta
peixe ra vaca piolho lobo frango papagaio pernilongo gaviao onca galo arara carangueijo porco-da-india garca
andorinha burro passaro baleia <UNK> gato corsa leoa baleia passaro ponei cabra peixe leoa macaco
tigre jumento arara pavao bufalo marreco urubu zebra rinoceronte carangueijo jacare marreco ponei leao escaravelho
touro cao hipopotamo lagarto peru corsa corsa bufalo tigre seu alfaiate peixe cavalo vaca peixe
morcego peixe alfaiate onca papagaio rinoceronte cobra <UNK> saracura ovelha urubu avestruz lagarto tartaruga alfaiate
pomba baleia corsa marreco cavalo bicho-preguica aguia cobra bicho-preguica quati bezerro pavao bem-te-vi pernilongo urso
ponei <UNK> barata golfinho boi andorinha macaco cao ovelha rinoceronte papagaio pomba besouro canario paca
baleia tartaruga cobra vaca vagalume besouro besouro veado saracura javali mula ovelha cachorro formiga mula
andorinha pernilongo corsa tubarao lagarta porco borboleta coruja sapo traca veado bufalo <UNK> cachorro bode
tatu aranha cachorro porco rato pomba bicho-preguica pomba andorinha hipopotamo formiga cachorro jumento <UNK> paca
porco-da-india cachorro traca ra besouro cabrito periquito tigre vagalume carangueijo tigre tatu aranha jabuti leoa
tigre hiena tubarao avestruz mico hipopotamo periquito peru raposa morcego periquito tatu touro formiga tubarao
boi borboleta sapo borboleta burro besouro gamba peru ponei cachorro hipopotamo lagartixa capivara ema jabuti
camelo urso hipopotamo onca pato javali jacare gato pinto mula mula cabrito borboleta javali seu
boi besouro touro andorinha cabra dinossauro saracura capivara capivara ganso cobra tubarao garca tigre aguia
boi hipopotamo bufalo lagarta porco-da-india avestruz pinto jacare gato sapo <UNK> dinossauro ponei frango ra
hiena bicho-preguica pato lontra ema baleia cabra borboleta porco aguia traca vaca pato formiga passaro-preto
galo peixe besouro tubarao gamba rinoceronte barata urso mico egua lagartixa jegue garrote rinoceronte aranha
alfaiate jumento joao-de-barro gaviao barata zebra mico tubarao borboleta gamba lagarto lagarta tigre calango sapo
garca cobra tamandua peru peru aguia pombo abelha zebra raposa mula pernilongo <UNK> zangao cobra
capivara papagaio ganso alfaiate escaravelho cao escaravelho capivara besouro galo seu escaravelho passaro-preto escaravelho saracura
jegue egua paca corsa pernilongo burro bufalo cavalo rinoceronte morcego marreco baleia frango bicho-do-mato coruja
egua ovelha foca quati baleia crocodilo traca saracura galinha boi ovelha peixe mula mosca pernilongo
besouro formiga leoa lagarta sabia javali <UNK> lagarto cabrito sapo passaro canguru girafa peixe mula
sabia calango paca carangueijo ganso cobra canario capivara galinha anta paca avestruz porco-do-mato zangao bicho-do-mato
alfaiate vaca borboleta vagalume marreco elefante hipopotamo guaxinim joao-de-barro periquito morcego egua joao-de-barro frango escorpiao
tartaruga garca cavalo cachorro arara cabrito calango peru cobra corsa ponei porco ra pinto passaro-preto
hiena vaca aranha mula cao mosca pernilongo escorpiao porco-da-india lontra traca touro guaxinim ema bicho-preguica
lobo camelo quati canguru rinoceronte seu saracura formiga burro porco-da-india arara passaro-preto porco-do-mato barata sabia
pavao girafa quati canario tamandua hiena vagalume macaco canguru marreco coelho mosca vaca mula lagartixa
pato jumento hipopotamo jumento onca galo barata frango jabuti alfaiate porco anta sapo garrote canguru
garrote garca burro garrote guaxinim jabuti pernilongo cavalo touro golfinho cabra peixe lobo besouro cao
zangao lontra passaro-preto lagarta rato foca traca pato besouro escaravelho ponei guaxinim peru coruja bezerro
galo elefante bode burro cao periquito bufalo anta ganso dinossauro tartaruga burro carangueijo veado onca
