# gunzip -c exp/mono_ali/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py data/lang 
# Started at Mon Jul  4 16:05:03 BRT 2016
#
At utterance begin, sil accounts for 100.0% of phone occurrences, with duration (median, mean, 95-percentile) is (140,141.2,192) frames.
Overall, a_B accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (11,11.5,19) frames.
Overall, an_I accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (13,12.8,19) frames.
Overall, m_B accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (11,10.9,16) frames.
Overall, am_I accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (4,4.3,7) frames.
Overall, j_I accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (11,11.1,15) frames.
Overall, o_E accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (3,5.7,16) frames.
Overall, en_I accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (14,14.0,21) frames.
Overall, oh_I accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (16,16.1,21) frames.
Overall, lh_I accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.3,13) frames.
Overall, f_B accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (18,18.3,24) frames.
Overall, nh_I accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (13,12.7,17) frames.
Overall, l_B accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.4,13) frames.
Overall, sh_I accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (16,16.4,20) frames.
Overall, eh_I accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (14,15.1,24) frames.
Overall, z_I accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (12,11.8,16) frames.
The optional-silence phone sil occupies 51.0% of frames overall 
Limiting the stats to the 87.2% of frames not covered by an utterance-[begin/end] phone, optional-silence sil occupies 43.9% of frames.
Assuming 100 frames per second, the alignments represent 0.9 hours of data, or 0.4 hours if sil frames are excluded.
Utterance-internal optional-silences sil comprise 10.4% of utterance-internal phones, with duration (median, mean, 95-percentile) = (59,60.5,89)
# Accounting: time=0 threads=1
# Ended (code 0) at Mon Jul  4 16:05:03 BRT 2016, elapsed time 0 seconds
