!SIL 1.0	sil
<UNK> 1.0	spn
comida-para-cachorro 1.0	k o m i d a p a r a k a sh o rr u
comida-para-animal 1.0	k o m i d a p a r a n i m al
comida-para-animal 1.0	k o m i d a p a r a a n i m al
comida-de-cachorro 1.0	k o m i d a dj i k a sh o rr u
comida-de-gato 1.0	k o m i d a dj i g a t u
cominho 1.0	k o m i nh u
compota 1.0	k on p o t a
computador 1.0	k on p u t a d o r
computadores 1.0	k on p u t a d o r e s
concha 1.0	k on sh a 
condicionador 1.0	k on dj i s i o n a d o r
condimentos 1.0	k on dj i m en t u s
confort 1.0	k on f o r ch i 
congelados 1.0	k on j e l a d o s
conservas-em-geral 1.0	k on s e r v a s in j e r al
contra-file 1.0	k on t r a f i l eh
copo 1.0	k oh p o
copos 1.0	k oh p o s
coracao  1.0	k o r a s am un
cotonete 1.0	k o t o n eh ch i
couve 1.0	k o w v i
couve-flor 1.0	k o w v i f l o r
coxao-duro 1.0	k o sh am un d u r u
coxao-mole 1.0	k o sh am un m o l i
creme-de-barbear 1.0	k r e m i dj i b a r b y a r
creme-de-leite 1.0	k r e m i dj i l e y ch i
creme-dental 1.0	k r e m i d en t al
creme-pos-barba 1.0	k r e m i p oh b a r b a
creme-rinse 1.0	k r e m i rr in s i
cueca 1.0	k u eh k a 
danone 1.0	d a n o n i
danoninho 1.0	d a n o n i nh u
derivados-de-leite 1.0	d e r i v a d u s dj i l e y ch i
desinfetante 1.0	d e z in f e t an ch i
desodorante 1.0	d e z o d o r an ch i
detergente 1.0	d e t e r j en ch i
dobradinha 1.0	d o b r a dj i nh a
doce 1.0	d o s i 
doce-diet 1.0	d o s i d a y eh ch i
doce-de-leite 1.0	d o s i dj i l e y ch
doce-enlatado 1.0	d o s i en l a t a d u
doces 1.0	d o s i s 
edredon 1.0	e d r e d on
eletrodomestico 1.0	e l e t r o d o m e s ch i k o 
eletrodomesticos 1.0	e l e t r o d o m e s ch i k o s
eletroeletronico 1.0	e l e t r o e l e t r o n i k o
embalagens 1.0	en b a l a j en s
embutidos 1.0	en b u ch i d o s
enlatado 1.0	en l a t a d u
enlatados 1.0	en l a t a d u s 
erva-doce 1.0	e r v a d o s i
ervas 1.0	e r v a s
ervilha 1.0	e r v i lh a
escarola 1.0	e s l a r o l a
escova 1.0	e s k o v a
escova-de-dente 1.0	e s k o v a dj i d en ch i
escova-de-roupa 1.0	e s k o v a dj i rr o w p a
escova-de-roupa 1.0	e s k o v a dj i rr o p a 
escumadeira 1.0	e s k u m a d e y r a
esmalte 1.0	e s m al ch i 
espanador 1.0	e s p a n a d o r
especiaria 1.0	e s p e s y a r y a
espeto 1.0	e s p e t o 
espinafre 1.0	e s p i n a f r e
esponja 1.0	e s p on j a 
esponja-de-aco 1.0	e s p on j a dj i a s u
esponja-para-lavar-louca 1.0	e s p on j a p a r a l a v a r l o u s a
extrato-de-tomate 1.0	e s t r a t u dj i t o m a ch i 
faca 1.0	f a k a
farinha 1.0	f a r i nh a
farinha-de-milho 1.0	f a r i nh a dj i m i lh o
farinha-de-mandioca 1.0	f a r i nh a dj i m an dj i o k a
farinha-de-rosca  1.0	f a r i nh a dj i r o s k a
farinha-de-trigo 1.0	f a r i nh a dj i t r i g o
farinha-lactea 1.0	f a r i nh a l a k t y a 
farinaceos 1.0	f a r i n a s y o s
farofa 1.0	f a r o f a
feijao 1.0	f e i j am un
feijao-carioca 1.0	f e i j am un k a r i o k a 
feijao-preto 1.0	f e i j am un p r e t o
fermento 1.0	f e r m en t u
ferro 1.0	f eh rr u
figada 1.0	f i g a d a
figado 1.0	f i g a d u
figo 1.0	f i g o
filtro 1.0	f il t r u
filtro-de-papel 1.0	f il t r u dj i p a p el
file-mignon 1.0	f i l eh m i nh on
fio-dental 1.0	f i o d en t al
flor 1.0	f l o r
flores 1.0	f l o r e s
fogao 1.0	f o g am un
fosforo 1.0	f oh s f o r u
fralda 1.0	f r al d a
fralda-de-crianca 1.0	f r al d a dj i k r i an s a
fralda-geriatrica 1.0	f r al d a j e r i a t r i k a
frango 1.0	f r an g u
frio 1.0	f r y o
frios 1.0	f r y o s
fruta 1.0	f r u t a
frutas 1.0	f r u t a s
fuba 1.0	f u b a 
galinha 1.0	g a l i nh a
garfo 1.0	g a r f u
gatorade 1.0	g e i t o r e i dj i
geladeira 1.0	j e l a d e y r a
geladeiras 1.0	j e l a d e y r a s
gelatina 1.0	j e l a ch i n a 
geleia 1.0	j e l e y a 
gilete 1.0	j i l eh ch i
gin 1.0	j in
goiaba 1.0	g o y a b a 
goiabada 1.0	g o y a b a d a
gorgonzola 1.0	g o r g on z oh l a
granola 1.0	g r a n oh l a
grao-de-bico 1.0	g r am un dj i b i k u
graos 1.0	g r am un s
grao 1.0	g r am un
guarana 1.0	g w a r a n a
guardanapo 1.0	g w a r d a n a p u
guloseimas 1.0	g u l o z e y m a s
hamburguer 1.0	a m b u r g e r
iogurte 1.0	i o g u r ch i
iogurtes 1.0	i o g u r ch i s
itens-de-limpeza 1.0	i t en s dj i l i m p e z a
jabuticaba 1.0	j a b u ch i k a b a
jarra 1.0	j a rr a
jarras 1.0	j a rr a s
jilo 1.0	j i l oh
ketchup 1.0	k a ch i sh u p i
kiwi 1.0	k i w i 
lagarto 1.0	l a g a r t u
lampada 1.0	l an p a d a
laranja 1.0	l a r an j a 
lasanha 1.0	l a z a nh a
lata-de-milho 1.0	l a t a dj i m i lh u
lata-de-sardinha 1.0	l a t a dj i s a r dj i nh a
lataria 1.0	l a t a r y a
latas 1.0	l a t a s
laticinio 1.0	l a ch i s i n y o
legume 1.0	l e g u m e 
legumes 1.0	l e g u m e s
leite 1.0	l e y ch i
leite-condensado 1.0	l e y ch i k on d en s a d u
leite-de-coco 1.0	l e y ch i dj i k o k o
leite-em-po 1.0	l e y ch i en p oh
leite-moca 1.0	l e y ch i m o s a 
leites 1.0	l e y ch i s
lentilha 1.0	l en ch i lh a
lencol 1.0	l en s ol
lima 1.0	l i m a 
limao 1.0	l i m am un
limpa-vidro 1.0	l in p a v i d r u
limpol 1.0	l in p ol
linguica 1.0	l in g w i s a
livro 1.0	l i v r u
louro 1.0	l o r u
loucas 1.0	l o w s a s
lustra-moveis 1.0	l u s t r a m oh v e y s
lustra-movel 1.0	l u s t r a m oh v el
la-de-aco 1.0	l an dj i a s u
macarrao 1.0	m a k a rr am un
maionese 1.0	m a y o n eh z i
maisena 1.0	m a y z e n a
mamao 1.0	m a m am un
mandioca 1.0	m an dj i o k a 
mandioquinha 1.0	m an dj i o k i nh a
manga  1.0	m an g a
manteiga 1.0	m an t e y g a
manteiga 1.0	m an t e g a
maquina-de-lavar 1.0	m a k i n a dj i l a v a r
maracuja 1.0	m a r a k u j a
margarina 1.0	m a r g a r i n a
martelo 1.0	m a r t eh l u
massa 1.0	m a s a 
massa-de-tomate 1.0	m a s a dj i t o m a ch i
massas 1.0	m a s a s
material-de-limpeza 1.0	m a t e r y al dj i l in p e z a
material-de-cozinha 1.0	m a t e r y al dj i k o z i nh a
material-de-higiene 1.0	m a t e r y al dj i i j i e n i
maçã 1.0	m a s an
meia 1.0	m e y a 
mel 1.0	m el
melancia 1.0	m e l an s y a
melao 1.0	m e l am un
mexerica 1.0	m e sh e r i k a
milharina 1.0	m i lh a r i n a
milho 1.0	m i lh o
milho-de-pipoca 1.0	m i lh u dj i p i p o k a
milho-verde 1.0	m i lh u v e r dj i
miojo 1.0	m i o j u
mixirica 1.0	m i sh i r i k a
mocoto 1.0	m o k o t oh
molho 1.0	m o lh u
molho-de-tomate 1.0	m o lh u dj i t o m a ch i
molho-de-macarrão 1.0	m o lh u dj i m a k a rr am un
molhos 1.0	m o lh u s
moranga 1.0	m o r an g a
morango 1.0	m o r an g u
mortadela 1.0	m o r t a d eh l a
mostarda 1.0	m o s t a r d a
mozzarella 1.0	m o z a r e l a
muzzarella 1.0	m u ch s a r e l a
nabo 1.0	n a b u
nescafe 1.0	n e s k a f eh
nescau 1.0	n e s k a u
neston 1.0	n e s t on
objeto-domestico 1.0	o b i j e t u d o m eh s ch i k u
oleo 1.0	o l y o
omo 1.0	o m o
oregano 1.0	o r eh g a n o
ovo 1.0	o v o
ovomaltine 1.0	o v o m al ch i n e
ovos 1.0	oh v o s
papel-higienico 1.0	p a p el i j i e n i k u
papel-toalha 1.0	p a p el t u a lh a
paes 1.0	p an en s
paio 1.0	p a y o
palha-de-aso 1.0	p a lh a dj i a s u
palito-de-dente 1.0	p a l i t u dj i d en ch i
palmito 1.0	p al m i t u
panela 1.0	p a n eh l a 
panelas 1.0	p a n eh l a s
panetone 1.0	p a n e t o n i
pano-de-chao 1.0	p a n u dj i sh am un
pano-de-limpeza 1.0	p a n u dj i l in p e z a
pano-de-prato 1.0	p a n u dj i p r a t u
pao 1.0	p am un
pao-de-forma 1.0	p am un dj i f o r m a
pao-de-queijo 1.0	p am un dj i k e y j u
papeis 1.0	p a p eh y s
papel 1.0	p a p el
papel-aluminio 1.0	p a p el a l u m i n y u
papel-de-limpeza 1.0	p a p el dj i l in p e z a
papel-higinenico 1.0	p a p el i j i e n i k u
papel-manteiga 1.0	p a p el m an t e y g a
papel-toalha 1.0	p a p el t o a lh a
parmesao 1.0	p a r m e s am un
pasta 1.0	p a s t a
pasta-de-dente 1.0	p a s t a dj i d en ch i
pasta-dental 1.0	p a s t a d en t al
pastel 1.0	p a s t el
pate 1.0	p a t e
pacoca 1.0	p a s oh k a 
peixe 1.0	p e y sh i
peixes 1.0	p e y sh i s
pente 1.0	p en ch i
pepino 1.0	p e p i n u
pepsi 1.0	p eh p s i
pera 1.0	p e r a 
perfume 1.0	p e r f u m i
pescado 1.0	p e s k a d u
pessegada 1.0	p e s e g a d a
pessego 1.0	p e s e g u
picles 1.0	p i k l e s
pilha 1.0	p i lh a
pimenta 1.0	p i m en t a
pimenta-do-reino 1.0	p i m en t a d u rr e i n u
pimentao 1.0	p i m en t am un
pinga 1.0	p in g a
pinho-sol 1.0	p i nh o s ol
pipoca 1.0	p i p oh k a 
pires 1.0	p i r i s
pizza 1.0	p i t z a
pizza 1.0	p i t s a
planta 1.0	p l an t a
plantas 1.0	p l an t a s
plastico 1.0	p l a s ch i k u
pneu 1.0	p i n e w 
po-royal 1.0	p o rr o y al
polvilho 1.0	p ol v i lh u
pomarola 1.0	p o m a r oh l a
porco 1.0	p o r k u
potes-plasticos 1.0	p oh ch i s p l a s ch i k u s
prato 1.0	p r a t u
pratos 1.0	p r a t u s 
prego 1.0	p r eh g u
presunto 1.0	p r e s un t u
prestobarba  1.0	p r eh s t o b a r b a
presuntado  1.0	p r e z un t a d u
produtos-congelados 1.0	p r o d u t u s k on j e l a d u s
produtos-de-higiene 1.0	p r o d u t u s dj i i j i e n i
produtos-de-limpeza 1.0	p r o d u t u s dj i l in p e z a
produtos-de-higiene-pessoal 1.0	p r o d u t u s dj i i j i e n i p e s o al
produtos-domesticos 1.0	p r o d u t u s d o m eh s ch i k u s
produtos-para-consumir 1.0	p r o d u t u s p a r a k on s u m i r
protetor-solar 1.0	p r o t e t o r s o l a r
provolone 1.0	p r o v o l o n i
pa 1.0	p a 
pao-italiano 1.0	p am un i t a l i an n u
po-de-cafe 1.0	p oh dj i k a f eh
queijo 1.0	k e y j u
queijo-branco 1.0	k e y j u b r an k u
queijo-muzzarela 1.0	k e y j u m u ch i s a r eh l a 
queijo-muzzarela 1.0	k e y j u m u z a r eh l a
queijo-ralado 1.0	k e y j u rr a l a d u
queijo-brie 1.0	k e y j u b r i
queijo-frescal 1.0	k e y j u f r e s k al
queijos 1.0	k e y j u s 
querosene 1.0	k e r o z e n i
quiabo 1.0	k y a b u
rabada 1.0	rr a b a d a
rabanete 1.0	rr a b a n e ch i
racao 1.0	rr a s am un
radio 1.0	rr a d y o
rapadura 1.0	rr a p a d u r a
ravioli 1.0	rr a v y o l i
racao-para-cachorro 1.0	rr a s am un p a r a k a sh o rr u
refrigerante 1.0	r e f r i j e r an ch i
relogio 1.0	rr e l oh j y o
removedor 1.0	rr e m o v e d o r
repolho 1.0	rr e p o lh u
requeijao 1.0	rr e k e y j am un
ricota 1.0	rr i k oh t a
rim 1.0	rr in
rodo 1.0	rr o d u
roupa 1.0	rr o w p a
roupa-de-baixo 1.0	rr o w p a dj i b a i sh u
roupa-de-cama 1.0	rr o w p a dj i k a m a
roupas 1.0	rr o w p a s
rucula 1.0	rr u k u l a
rum 1.0	rr un
rodo 1.0	rr o d o
sabao 1.0	s a b am un
sabao-coco 1.0	s a b am un k o k o
sabao-em-barra 1.0	s a b am un en k o k o
sabao-em-pedra 1.0	s a b am un en p e d r a
sabao-em-po 1.0	s a b am un en p oh
sabao-liquido 1.0	s a b am un l i k i d u
sabao-pedra 1.0	s a b am un p e d r a
sabao-po 1.0	s a b am un p oh
sabonete 1.0	s a b o n e ch i
sabonete-liquido 1.0	s a b o n e ch i l i k i d u
saco-de-dormir 1.0	s a k u dj i d o r m i r
saco-de-lixo 1.0	s a k u dj i l i sh u
saco-plastico 1.0	s a k u p l a s ch i k u
sacola 1.0	s a k oh l a 
sagu 1.0	s a g u
sal 1.0	s al
salada 1.0	s a l a d a
saladas 1.0	s a l a d a s
salame 1.0	s a l an m e
salgadinho 1.0	s al g a dj i nh u
salgadinhos 1.0	s al g a dj i nh u s
salgados 1.0	s al g a d u s
salmao 1.0	s al m am un
salsa 1.0	s al s a
salsao 1.0	s al s am un
salsicha 1.0	s al s i sh a
salsinha 1.0	s al s i nh a
sapato 1.0	s a p a t u
sapatos 1.0	s a p a t u s
sapolio 1.0	s a p oh l y u
sardinha 1.0	s a r dj i nh a 
sequilho 1.0	s e k i lh u
shampoo 1.0	sh an p u
silvo 1.0	s il v y o
sofa 1.0	s o f a
soja 1.0	s oh j a
sopa 1.0	s o p a
sopa-de-pacotinho 1.0	s o p a dj i p a k oh ch i nh u
sopa-pronta 1.0	s o p a p r on t a
sorvete 1.0	s o r v e ch i
sorvetes 1.0	s o r v e ch i s 
espageti 1.0	i s p a g eh ch i
suco 1.0	s u k u
sucos 1.0	s u k u s
sucrilhos 1.0	s u k r i lh u s 
tabua-de-passar 1.0	t a b w a dj i p a s a r
talco 1.0	t al k u
talheres 1.0	t a lh eh r e s
tangerina 1.0	t an j e r i n a
tapete 1.0	t a p e ch i
telefone 1.0	t e l e f o n i
televisao 1.0	t e l e v i z am un
tempero 1.0	t en p e r u
tempero-baiano 1.0	t en p e r u b a y a n u
temperos 1.0	t en p e r u s
tenis 1.0	t e n i s
tinta-de-cabelo 1.0	t in t a dj i k a b e l u
toalha 1.0	t w a lh a
toalha-de-papel 1.0	t w a lh a dj i p a p el
toalha-de-banho 1.0	t w a lh a dj i b a nh u
toalha-de-mesa 1.0	t w a lh a dj i m e z a
toalhas 1.0	t w a lh a s
toddy 1.0	t oh dj i
tomadas 1.0	t o m a d a s
tomate 1.0	t o m a ch i
tomatinho 1.0	t o m a ch i nh u
torrada 1.0	t o rr a d a
torta 1.0	t o r t a 
toucinho 1.0	t o w s i nh u
travesseiro 1.0	t r a v e s e y r u 
trigo 1.0	t r i g u
utensilios-domesticos 1.0	u t en s i l y o s d o m eh s ch i k u s
uva 1.0	u v a 
uva-passa 1.0	u v a p a s a 
vagem 1.0	v a j en
vara-de-pescar 1.0	v a r a dj i p e s k a r
vaso-de-plantas 1.0	v a z u dj i p l an t a s
vaso-de-planta 1.0	v a z u dj i p l an t a
vassoura 1.0	v a s o w r a
vegetais 1.0	v e j e t a y s
veja 1.0	v e j a
vela 1.0	v eh l a
veneno-para-matar-mosquito 1.0	v e n e n u p a r a m a t a r m o s k i t u
verdura 1.0	v e r d u r a
verduras 1.0	v e r d u r a s
vermute 1.0	v e r m u ch i
vestuario 1.0	v e s t u a r y o
vidro 1.0	v i d r u
vinagre 1.0	v i n a g r e
vinho 1.0	v i nh u
vinhos 1.0	v i nh u s
vodca 1.0	v oh dj i k a 
whisky 1.0	u y s k i
xampu 1.0	sh an p u
xuxu 1.0	sh u sh u
xicara 1.0	sh i k a r a
yakult 1.0	i a k ul ch i
